code,animal_proportion,fao_subgroup_code,has_fish,has_meat_or_poultry,has_seafood,name,ep_phd_poultry,ep_phd_dairy,ep_phd_nuts,ep_phd_fruits,ep_phd_eggs,ep_phd_vegetables,ep_phd_animal_fats,ep_phd_plant_oils_saturated,ep_phd_meat,ep_phd_tubers_roots,ep_phd_refined_grains,ep_phd_none,ep_phd_plant_oils_unsaturated,ep_phd_legumes,ep_phd_sugar,ep_phd_whole_grains,ep_phd_fish,ep_phd_alcohol
F033163,0.0,111,False,False,False,"Kaurajuoma, elovena välipalajuoma hedelmäinen, 0,5% rasvaa",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F033164,1.0,401,False,False,False,"Maito, täysmaito, vl, ei lisätty d-vitamiinia",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F033167,0.0,1406,False,False,False,"Kiisseli, mehukeitto, karviais-boysenmarjakeitto+kuitu, sokeriton, valio",,,,,,,,,,,,,,,,,,0.0
F033168,1.0,404,False,False,False,"Juusto, polar 10 % rasvaa, valio, d-vitamiinia 5 ug",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F033174,1.0,702,False,True,False,"Jauheliha, sika-nauta, kevyt, vähärasvainen, rasvaa 10 %",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F033179,1.0,402,False,False,False,"Rahka, maitorahka, maustamaton, rasvaa 0,3 %, laktoositon",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F033181,0.28,1802,True,False,False,"Kalapuikko, kuitupitoiset kalapuikot, findus, uunissa",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.31,0.28,0.0
F033182,0.0,205,False,False,False,"Juurekset, uunissa",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F033189,0.7,402,False,False,False,"Rahka, maustettu, rasvaa 7 %, makea, laktoositon, valio",,,,,,,,,,,,,,,,,,0.0
F033199,0.46,1801,False,True,False,"Pasta-jauhelihapaistos, atria, valmisateria",,,,,,,,,,,,,,,,,,0.0
F033204,0.0,901,False,False,False,"Kaali, valkokaali, keitetty, suolaton",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F033205,0.15,103,False,False,False,"Ohukainen, lettu, atria",0.0,0.0,0.0,0.0,0.10,0.0,0.0,0.0,0.0,0.0,0.62,0.0,0.20,0.0,0.08,0.0,0.0,0.0
F033207,0.0,905,False,False,False,"Tomaattisalsa, teollinen",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F033208,0.0,1302,False,False,False,"Kylmä kastike, avokadokastike, guacamole, teollinen",0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.0
F033215,0.0,111,False,False,False,"Sekaleipä, kauraleipä, kaurajuntta, ullan pakari",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F033216,0.0,103,False,False,False,"Sekaleipä, aurinkosämpylät, ullan pakari",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F033217,0.0,110,False,False,False,"Ruisleipä, ruiskakko, ruissämpylät, ullan pakari",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
F033219,0.0,103,False,False,False,"Sekaleipä, 3-viljan leipä, pirjon pakari",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F033265,0.1,1202,False,False,False,"Pähkinä, cashewpähkinä, suklaakuorrutus",,,,,,,,,,,,,,,,,,0.0
F033266,0.1,1203,False,False,False,"Pähkinä, cashewpähkinä, jogurttikuorrutus",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F033271,0.5,1801,False,True,False,"Pasta carbonara, hk via, valmisateria",,,,,,,,,,,,,,,,,,0.0
F033278,0.3,1802,True,False,False,"Kalakeitto, täyteläinen lohikeitto, kokkikartano snellman, valmisateria",,,,,,,,,,,,,,,,,,0.0
F033279,0.58,905,False,False,False,"Tomaattikeitto, tomaatti-vuohenjuustokeitto, kokkikartano snellman, valmisateria",,,,,,,,,,,,,,,,,,0.0
F033280,0.6,402,False,False,False,"Jogurtti, maustettu, rasvaa 2 %, laktoositon, d-vit 1 ug",,,,,,,,,,,,,,,,,,0.0
F033284,1.0,402,False,False,False,"Jogurtti, maustamaton, rasvaton, laktoositon, d-vit 1 ug",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F033295,1.0,402,False,False,False,"Jogurtti, maustamaton, a+, rasvaton, vl, d-vit 1 ug",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F033313,0.4,1801,False,True,False,"Panang currybroileri jasmiiniriisillä, kitchen joy thai-cube, valmisateria",,,,,,,,,,,,,,,,,,0.0
F033323,0.0,1503,False,False,False,"Urheilujuomatiiviste, hiilihydraattijuoma, dexal heavy",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F033324,0.55,1801,False,True,False,"Tikka masala broileria jasmiiniriisillä, kitchen joy thai-cube, valmisateria",,,,,,,,,,,,,,,,,,0.0
F033343,0.5,1503,False,False,False,"Urheilujuoma, proteiinijuoma, leader protein 40",,,,,,,,,,,,,,,,,,0.0
F033344,1.0,402,False,False,False,"Rahka, välipalarahka, valio, rasvaa 2,9 %, vl, ei lisätty d-vitamiinia",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F033346,0.28,1201,False,False,False,"Pulla, keskirasvainen, kevytmaito",0.0,0.04,0.0,0.0,0.03,0.0,0.09,0.0,0.0,0.0,0.63,0.0,0.09,0.0,0.12,0.0,0.0,0.0
F033356,0.6,402,False,False,False,"Jogurtti, maustettu, activia, rasvaa 3 %, vl, probiootteja",,,,,,,,,,,,,,,,,,0.0
F033357,0.0,1403,False,False,False,"Kahvi, murukahvi, pikakahvi, valmistamaton",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
F033364,0.75,703,False,True,False,"Broilerifilee, marinoitu, uunissa",0.70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30,0.0,0.0,0.0,0.0,0.0
F033365,0.75,703,False,True,False,"Broilerifileesuikale, marinoitu, paistettu",0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.02,0.0,0.0,0.0
F033370,1.0,702,False,True,False,"Kebabliha, lihapitoisuus 75 %",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
